,Employee ID,Email,Position,DOB,Marital Status,Gender,Hire Date,Salaried,Vacation Hours,Sick Leave Hours,Encrypted Password,Modified
33,801758002,annik0,Production Technician - WC60,12/26/76,M,M,12/17/08,0,17,28,51FDE6AC-BD50-467C-90E5-10CA7310455C,6/30/14 0:00
34,754372876,suchitra0,Production Technician - WC60,6/10/87,M,F,2/16/09,0,15,27,6ADBD932-0DA5-4F5C-AF67-8E3A53630896,6/30/14 0:00
35,999440576,brandon0,Production Technician - WC60,1/10/77,M,M,2/8/09,0,22,31,CA5D1935-44E2-4C45-93BB-809E59F56796,6/30/14 0:00
36,788456780,jose0,Production Technician - WC60,7/31/84,M,M,2/10/09,0,20,30,9E912556-88BA-41EE-B946-CB84AB4C1102,6/30/14 0:00
37,442121106,chris2,Production Technician - WC60,8/7/86,S,M,3/7/09,0,16,28,77B384C7-AFFB-4816-992B-F5B3034EE4FF,6/30/14 0:00
38,6298838,kim1,Production Technician - WC60,12/14/66,M,F,1/16/10,0,24,32,891C27F4-28CC-44BB-BEA3-DA5EA7FBE957,6/30/14 0:00
39,461786517,ed0,Production Technician - WC60,9/11/71,S,M,2/5/10,0,25,32,8EF22FB3-AF37-4B44-8862-D60A7CB09D82,6/30/14 0:00
40,309738752,jolynn0,Production Supervisor - WC60,1/16/56,S,F,12/26/07,0,82,61,2CC71B96-F421-485E-9832-8723337749BB,6/30/14 0:00
41,458159238,bryan0,Production Technician - WC60,8/27/73,S,M,1/21/09,0,35,37,4652D4E4-6A27-47ED-9F51-C377E293DA28,6/30/14 0:00
42,339712426,james0,Production Technician - WC60,7/25/84,M,M,12/27/08,0,39,39,82E52D5A-165B-4C6D-9773-C3A6B6332ECD,6/30/14 0:00
43,693325305,nancy0,Production Technician - WC60,11/19/88,M,F,1/2/09,0,34,37,6B7EB306-9A00-496A-98A9-4E94FE72F77C,6/30/14 0:00
44,276751903,simon0,Production Technician - WC60,5/17/90,S,M,12/8/08,0,38,39,F734D38A-56B5-471E-8DED-A682E958A9B3,6/30/14 0:00
45,500412746,thomas0,Production Technician - WC60,1/10/86,M,M,2/26/09,0,37,38,8FF3AF67-32F2-4A08-98C3-A40F842D41A3,6/30/14 0:00
46,66073987,eugene1,Production Technician - WC60,2/10/76,S,M,2/8/09,0,36,38,33543B35-77DA-4600-A41B-1EAFEA0AD643,6/30/14 0:00
47,33237992,andrew0,Production Supervisor - WC10,9/6/88,S,M,2/22/09,0,65,52,08365B05-C143-4260-A93C-6B69418B1946,6/30/14 0:00
48,690627818,ruth0,Production Technician - WC10,6/4/56,M,F,1/6/08,0,83,61,3E3B6905-209E-442E-B8A8-9A0980241C6A,6/30/14 0:00
49,912265825,barry0,Production Technician - WC10,3/26/56,S,M,1/7/08,0,88,64,756A60AE-378F-43D8-9F93-1E821D1EAF52,6/30/14 0:00
50,844973625,sidney0,Production Technician - WC10,8/30/56,M,M,2/2/08,0,84,62,40D603D9-7F99-48B7-A580-B17CF429BED2,6/30/14 0:00
51,132674823,jeffrey0,Production Technician - WC10,7/11/56,S,M,2/20/08,0,85,62,6E086F41-B81D-4BDC-9F13-0EEC488DC43E,6/30/14 0:00
52,565090917,doris0,Production Technician - WC10,4/4/56,M,F,3/10/08,0,86,63,692B8826-03B4-4C3B-82FC-1FC6F1409689,6/30/14 0:00
53,9659517,diane0,Production Technician - WC10,3/29/56,M,F,3/28/08,0,87,63,C334B2D2-0C56-4906-9095-F1D07A98CBEC,6/30/14 0:00
54,109272464,bonnie0,Production Technician - WC10,9/10/86,M,F,1/1/10,0,89,64,E950A52A-DF61-4FEC-9063-545664D65B89,6/30/14 0:00
55,233069302,taylor0,Production Supervisor - WC50,4/1/56,M,M,2/8/08,0,79,59,28F7EF89-2793-4989-B67D-25046543C1E3,6/30/14 0:00
56,652535724,denise0,Production Technician - WC50,7/6/88,M,F,2/5/09,0,9,24,77878C43-F16E-437D-892F-3CFCC0715A0A,6/30/14 0:00
57,10708100,frank1,Production Technician - WC50,7/24/71,S,M,2/23/09,0,10,25,B395CD84-77BA-4D3C-A49D-D9E8D6CF100B,6/30/14 0:00
58,571658797,kendall0,Production Technician - WC50,5/30/86,M,M,12/5/08,0,11,25,65207627-5521-4A8E-AD3C-B2F1B5226B85,6/30/14 0:00
59,843479922,bob0,Production Technician - WC50,8/16/79,S,M,12/24/08,0,12,26,68616AEA-81E5-4940-A7E4-6FBA882BCCF6,6/30/14 0:00
60,827686041,pete0,Production Technician - WC50,2/3/77,S,M,1/11/09,0,13,26,1F1D813D-3EDC-4274-8E9B-4519D71685B6,6/30/14 0:00
61,92096924,diane2,Production Technician - WC50,8/9/89,S,F,1/18/09,0,8,24,721A2921-C415-46DE-9111-13F25F428B8B,6/30/14 0:00
62,494170342,john0,Production Supervisor - WC60,8/7/56,M,M,3/17/08,0,81,60,D4ED1F78-7C28-479B-BFEF-A73228BA2AAA,6/30/14 0:00
63,414476027,maciej0,Production Technician - WC60,1/30/55,S,M,1/29/10,0,30,35,3229D93F-6A14-4BAC-ABC5-A91B9ECFB4D3,6/30/14 0:00
64,582347317,michael7,Production Technician - WC60,9/5/73,S,M,2/23/10,0,26,33,492B24BD-BDE9-4371-B96E-CCD72264B91F,6/30/14 0:00
65,8066363,randy0,Production Technician - WC60,4/28/70,M,M,2/23/10,0,29,34,9A08108D-E039-4862-8F93-55F18017AD72,6/30/14 0:00
66,834186596,karan0,Production Technician - WC60,3/7/70,S,M,12/22/09,0,28,34,08B1BA74-DD80-4FDA-8327-93268B84977B,6/30/14 0:00
67,63179277,jay0,Production Technician - WC60,2/11/76,S,M,3/5/09,0,32,36,18187809-5294-474F-85A1-D5BE6BD518D6,6/30/14 0:00
68,537092325,charles0,Production Technician - WC60,9/2/71,S,M,12/3/09,0,27,33,CDC11292-DF74-4FB0-8676-5B2AA4687142,6/30/14 0:00
69,752513276,steve0,Production Technician - WC60,4/6/91,S,M,2/15/09,0,31,35,12F678D7-EAD3-4CF4-8518-A19AACF2A6D4,6/30/14 0:00
70,36151748,david2,Production Technician - WC60,12/29/84,M,M,12/15/08,0,33,36,FC617BB8-D2A3-4374-873C-8EF38D80127D,6/30/14 0:00
71,578935259,michael3,Production Supervisor - WC30,1/29/89,S,M,2/15/09,0,70,55,1AD772D7-7B4A-4A7B-8676-49DD7608CB94,6/30/14 0:00
72,443968955,steven0,Production Technician - WC30,5/14/77,M,M,12/1/08,0,41,40,0A8937C9-68AA-4D48-BA4E-B40493D764AA,6/30/14 0:00
73,138280935,carole0,Production Technician - WC30,10/19/83,M,F,12/19/08,0,42,41,C76A41F1-A390-4AE4-A82A-2A87764C6391,6/30/14 0:00
74,420023788,bjorn0,Production Technician - WC30,11/6/89,S,M,1/7/09,0,43,41,A942E1E0-2D5E-4858-97C0-947020E96860,6/30/14 0:00
75,363996959,michiko0,Production Technician - WC30,6/27/82,S,M,1/26/09,0,44,42,F359F5B6-5E18-4C62-8531-14D951911CE5,6/30/14 0:00
76,227319668,carol0,Production Technician - WC30,10/17/88,M,F,2/12/09,0,45,42,8D0182A3-5B59-4EEA-9B3C-C7F05DA9A2CE,6/30/14 0:00
77,301435199,merav0,Production Technician - WC30,5/13/83,M,F,3/3/09,0,46,43,2EE7914A-62D3-473B-A0E1-E4E55341EC4E,6/30/14 0:00
78,370989364,reuben0,Production Supervisor - WC40,8/27/87,M,M,12/15/08,0,72,56,71EEE2A6-B9B3-4BF4-8949-01239DF7C901,6/30/14 0:00
79,697712387,eric1,Production Technician - WC40,12/8/66,M,M,1/24/10,0,60,50,55F62E38-9457-46C8-A824-E46A3117A935,6/30/14 0:00
80,943170460,sandeep0,Production Technician - WC40,12/3/70,S,M,1/17/10,0,65,52,606C21E2-3EC0-48A6-A9FE-6BC8123AC786,6/30/14 0:00
81,413787783,mihail0,Production Technician - WC40,3/9/71,S,M,12/29/09,0,64,52,03A9BA14-0D5B-4671-B851-2C1721EFBF01,6/30/14 0:00
82,58791499,jack1,Production Technician - WC40,8/29/73,S,M,3/3/10,0,62,51,D308D387-F7F3-4B5F-ABDA-FAF5574245CD,6/30/14 0:00
83,988315686,patrick1,Production Technician - WC40,12/23/73,M,M,2/12/10,0,61,50,296C52AE-169F-4292-975D-C508476DCECF,6/30/14 0:00
84,947029962,frank3,Production Technician - WC40,3/2/52,M,M,2/5/10,0,66,53,9AF24ACC-EA3E-4EFE-B5E3-4762C496D57C,6/30/14 0:00
85,1662732,brian2,Production Technician - WC40,12/23/70,S,M,12/11/09,0,63,51,C294F676-CAAF-4924-9730-BC81AE408BE1,6/30/14 0:00
86,769680433,ryan0,Production Technician - WC40,6/13/72,M,M,1/5/09,0,59,49,10E5BD6F-2B9C-4192-A94D-6A2D50EA1ADB,6/30/14 0:00
87,7201901,cristian0,Production Supervisor - WC10,4/11/84,M,M,12/22/08,0,67,53,5BE16416-8570-417D-9E54-047DB468B5E9,6/30/14 0:00
88,294148271,betsy0,Production Technician - WC10,12/17/66,S,F,12/18/09,0,99,69,EBCDBA1C-6C1D-4D36-90F7-1893755C85E3,6/30/14 0:00
89,90888098,patrick0,Production Technician - WC10,9/10/86,S,M,2/1/10,0,96,68,D5FBE9E6-B8C5-484C-B4B8-48059E0EF267,6/30/14 0:00
90,82638150,danielle0,Production Technician - WC10,9/7/86,S,F,2/20/10,0,97,68,BB886159-1400-4264-B7C9-A3769BEB1274,6/30/14 0:00
91,390124815,kimberly0,Production Technician - WC10,9/13/86,S,F,1/12/10,0,95,67,CE256B6C-1EEE-43ED-9969-7CAC480FF4D7,6/30/14 0:00
92,826454897,tom0,Production Technician - WC10,10/1/86,M,M,3/10/10,0,98,69,B3BF7FC5-2014-48CE-B7BB-76124FA8446C,6/30/14 0:00
93,778552911,kok-ho0,Production Supervisor - WC50,4/28/80,S,M,12/27/08,0,78,59,57FB2C0F-B105-49F0-967A-88F3D743CB3F,6/30/14 0:00
94,718299860,russell0,Production Technician - WC50,11/25/72,M,M,12/12/08,0,6,23,6B10192F-D570-47C4-82C9-3D979B1EFDC1,6/30/14 0:00
95,674171828,jim0,Production Technician - WC50,9/8/86,M,M,12/19/08,0,1,20,6175876E-8FCC-4917-BE06-FC358515E6DF,6/30/14 0:00
96,912141525,elizabeth0,Production Technician - WC50,1/25/90,M,F,3/2/09,0,5,22,62A9F73F-6443-4F2F-B864-18186614BFB6,6/30/14 0:00
97,370581729,mandar0,Production Technician - WC50,3/21/86,S,M,2/10/09,0,0,20,1F0E068A-48C5-40BF-8190-565150EFDADD,6/30/14 0:00
98,152085091,sameer0,Production Technician - WC50,6/26/78,M,M,2/11/09,0,4,22,A703169F-1563-488E-914D-D784FD07F29A,6/30/14 0:00
99,431859843,nuan0,Production Technician - WC50,3/29/79,S,M,1/6/09,0,2,21,A6089357-2F2F-48CC-AB3C-D9B75A3C09D7,6/30/14 0:00
100,204035155,lolan0,Production Technician - WC50,1/24/73,M,M,1/12/09,0,7,23,9B9B768D-7CC1-4DCE-87CB-765AB73A6AFF,6/30/14 0:00
101,153288994,houman0,Production Technician - WC50,8/30/71,M,M,1/25/09,0,3,21,9CE8B2E8-9944-4BA5-97DE-441D8314F161,6/30/14 0:00
102,360868122,zheng0,Production Supervisor - WC10,10/26/83,S,M,12/3/08,0,66,53,C75F2740-ACE3-4EBF-91C5-7AB352E1095F,6/30/14 0:00
103,455563743,ebru0,Production Technician - WC10,9/22/86,S,M,12/6/09,0,93,66,6C25A32B-88B5-4F84-A129-F7F688DFA588,6/30/14 0:00
18,222969461,john5,Marketing Specialist,3/6/78,S,M,2/7/11,0,48,44,64730415-1F58-4E5B-8FA8-5E4DAEBA53B4,6/30/14 0:00
104,717889520,mary1,Production Technician - WC10,9/19/86,M,F,12/25/09,0,94,67,6DC9F7D0-5664-4E4A-90F5-7AB85EBB02E6,6/30/14 0:00
105,801365500,kevin2,Production Technician - WC10,9/19/86,S,M,12/25/09,0,90,65,8B21E53D-E705-479A-B32E-6E63AC2F4BCD,6/30/14 0:00
106,561196580,john4,Production Technician - WC10,9/28/86,S,M,2/27/10,0,92,66,D4CF23D9-21B6-45E4-827C-22890DF0373B,6/30/14 0:00
107,393421437,christopher0,Production Technician - WC10,10/1/86,M,M,2/8/10,0,91,65,F71C6055-557B-4660-86FF-8C0FA14B24E6,6/30/14 0:00
108,630184120,jinghao0,Production Supervisor - WC50,2/5/89,S,M,12/8/08,0,77,58,2BCA07D3-F2AC-4406-904F-E09156F3EB3E,6/30/14 0:00
109,113695504,alice0,Production Technician - WC50,1/26/78,M,F,12/7/08,0,95,67,7E632B21-0D11-4BBA-8A68-8CAE14C20AE6,6/30/14 0:00
110,857651804,Jun-00,Production Technician - WC50,7/6/79,S,M,12/14/08,0,90,65,9C5F84D1-FB96-4D82-92A1-F932903DEAAD,6/30/14 0:00
111,415823523,suroor0,Production Technician - WC50,2/25/78,S,M,12/17/08,0,93,66,14010B0E-C101-4E41-B788-21923399E512,6/30/14 0:00
112,981597097,john1,Production Technician - WC50,5/31/78,S,M,1/1/09,0,91,65,B6998410-EE0F-4307-9E6E-FE348F11012D,6/30/14 0:00
113,54759846,linda0,Production Technician - WC50,7/17/87,M,F,12/25/08,0,96,68,FB84759C-B687-43B2-8727-125EFE0F5E13,6/30/14 0:00
114,342607223,mindaugas0,Production Technician - WC50,5/7/78,M,M,1/13/09,0,97,68,1D784088-DACB-4185-9F60-3D2DB4925BA5,6/30/14 0:00
115,563680513,angela0,Production Technician - WC50,5/31/91,S,F,1/20/09,0,92,66,4958E1C3-C872-4222-954E-09D2060EA7EF,6/30/14 0:00
116,398737566,michael2,Production Technician - WC50,5/3/74,S,M,1/31/09,0,98,69,C6EB2566-CF28-4602-9A25-5B91C8728838,6/30/14 0:00
117,599942664,chad0,Production Technician - WC50,8/4/90,M,M,2/18/09,0,99,69,83A32D4C-4725-478F-9997-91739BB957BA,6/30/14 0:00
118,222400012,don0,Production Technician - WC50,6/13/71,M,M,2/13/09,0,88,64,E720053D-922E-4C91-B81A-A1CA4EF8BB0E,6/30/14 0:00
119,334834274,michael4,Production Technician - WC50,6/15/89,S,M,2/25/09,0,94,67,EB27C026-9470-4450-8D5E-1F38A41793B5,6/30/14 0:00
120,211789056,kitti0,Production Technician - WC50,6/6/87,S,F,3/4/09,0,89,64,49A05524-FA34-45B1-95BC-489901DC5B50,6/30/14 0:00
121,521265716,pilar0,Shipping and Receiving Supervisor,9/9/72,S,M,1/2/09,1,93,66,01BCCE22-D63A-4C3F-9BA8-D3D5A4C3BD52,6/30/14 0:00
122,586486572,susan0,Stocker,2/17/78,S,F,12/7/08,0,97,68,923ECFD6-E202-429A-9141-6CB183531439,6/30/14 0:00
123,337752649,vamsi0,Shipping and Receiving Clerk,3/18/77,M,M,12/7/08,0,95,67,A8838AB2-99DE-415C-8675-D82EBF1C4752,6/30/14 0:00
124,420776180,kim0,Stocker,4/30/84,S,F,12/26/08,0,98,69,6150F197-7923-40D4-84F2-936207D468AB,6/30/14 0:00
125,584205124,matthias0,Shipping and Receiving Clerk,11/11/73,M,M,1/20/09,0,94,67,54ED63DC-C62C-4CC7-89C2-015DF49C49A5,6/30/14 0:00
126,652779496,jimmy0,Stocker,5/4/85,M,M,2/26/09,0,96,68,96442787-9520-4955-A457-38AFDDB6FF13,6/30/14 0:00
127,750905084,david4,Production Supervisor - WC40,7/2/83,S,M,1/3/09,0,73,56,516538E8-115B-44F4-AA7B-E6C1D9F8ADFC,6/30/14 0:00
128,384162788,paul0,Production Technician - WC40,11/13/80,S,M,12/4/08,0,68,54,0217049E-1566-42B6-8027-41B751E2B00B,6/30/14 0:00
129,502058701,gary0,Production Technician - WC40,5/16/88,S,M,12/22/08,0,69,54,A03D6052-1F85-4EBE-AAC9-B67CFDCD91A6,6/30/14 0:00
130,578953538,rob1,Production Technician - WC40,8/4/73,S,M,2/13/09,0,71,55,54FDA597-6822-42B4-B128-63ECA03071F2,6/30/14 0:00
131,273260055,baris0,Production Technician - WC40,10/7/90,S,M,2/15/09,0,72,56,232D68BF-DF58-48F9-9235-53BD4B009B4B,6/30/14 0:00
132,1300049,nicole0,Production Technician - WC40,4/9/86,M,F,2/22/09,0,67,53,15671E3B-016F-41FD-840B-5A9F7D776D9A,6/30/14 0:00
133,830150469,michael1,Production Technician - WC40,1/4/91,S,M,1/10/09,0,70,55,416BF905-7D6C-4692-8FD6-40F6C4F9ECC4,6/30/14 0:00
134,45615666,eric0,Production Supervisor - WC20,1/19/85,M,M,1/14/09,0,40,40,2ABCF39B-88D7-49FA-820A-83D223322BA5,6/30/14 0:00
135,964089218,ivo0,Production Technician - WC20,1/3/82,M,M,12/4/08,0,9,24,D83A26F3-7EA7-477B-A5BB-7EAADFC13A09,6/30/14 0:00
136,701156975,sylvester0,Production Technician - WC20,11/12/70,M,M,12/11/09,0,4,22,D9C43D08-3882-4E5C-BDF0-F6BD7004CD04,6/30/14 0:00
137,63761469,anibal0,Production Technician - WC20,9/5/74,S,F,2/23/09,0,8,24,BC18A829-F0CE-4EAF-9785-2D84C86F925A,6/30/14 0:00
138,25011600,samantha0,Production Technician - WC20,11/22/87,M,F,2/4/09,0,7,23,1629EDDD-D0AE-4CB9-A59C-3A175F7027E5,6/30/14 0:00
139,113393530,hung-fu0,Production Technician - WC20,10/23/71,S,M,1/6/10,0,0,20,065D8D5F-9504-4FFE-98DC-E69677F19F15,6/30/14 0:00
140,339233463,prasanna0,Production Technician - WC20,4/30/53,M,M,1/22/10,0,5,22,72ED240A-0FD8-4423-8A49-9078BA6BCF6C,6/30/14 0:00
141,872923042,min0,Production Technician - WC20,9/10/74,M,M,1/24/10,0,1,20,CC75C35D-1566-43FA-B2E9-D1E508EFDCD1,6/30/14 0:00
142,163347032,olinda0,Production Technician - WC20,4/4/70,S,F,3/4/10,0,3,21,6456CEC3-9B1E-4EBC-9FD8-732B93363F65,6/30/14 0:00
143,56772045,krishna0,Production Technician - WC20,9/5/71,S,M,2/13/10,0,2,21,42A506A5-0AC0-4148-B702-BB7B804EF98C,6/30/14 0:00
144,886023130,paul1,Production Technician - WC20,11/4/90,M,M,1/17/09,0,6,23,DC5BA622-B860-41EE-AF92-5FEB4779B589,6/30/14 0:00
145,386315192,cynthia0,Production Supervisor - WC30,8/18/81,S,F,1/27/09,0,69,54,F9E1DC46-0D03-4A8A-B693-1A964BC13E6C,6/30/14 0:00
146,160739235,jianshuo0,Production Technician - WC30,6/25/89,S,M,12/7/08,0,36,38,6FFF136A-9664-4EB9-9243-FAC76E21B9DD,6/30/14 0:00
147,604664374,sandra0,Production Technician - WC30,11/5/75,M,F,12/26/08,0,37,38,F69F3FF9-E1E0-4419-A6BF-F705E1556160,6/30/14 0:00
148,733022683,jason0,Production Technician - WC30,12/7/88,S,M,1/14/09,0,38,39,C16C501D-942D-4EB0-B5C4-EF8119FBEBA2,6/30/14 0:00
149,764853868,andy0,Production Technician - WC30,10/20/83,M,M,1/31/09,0,39,39,615A6BFE-3046-4037-9764-238535F725BE,6/30/14 0:00
150,878395493,michael5,Production Technician - WC30,9/18/82,M,M,2/26/09,0,35,37,2B0876D4-8996-4E71-A613-BE2E98E7ACCF,6/30/14 0:00
151,993310268,rostislav0,Production Technician - WC30,9/13/77,M,M,2/19/09,0,40,40,00027A8C-C2F8-4A31-ABA8-8A203638B8F1,6/30/14 0:00
152,319472946,yuhong0,Production Supervisor - WC20,4/6/77,M,M,2/1/09,0,41,40,F1A684F4-02DB-4B22-8977-6D8D3A21100E,6/30/14 0:00
153,568596888,hanying0,Production Technician - WC20,10/16/74,S,M,12/16/08,0,15,27,618B71BC-6E8C-492D-8862-B9EFB7A4E06A,6/30/14 0:00
154,97728960,raymond0,Production Technician - WC20,3/2/67,M,M,12/23/08,0,10,25,9F01E1FB-B893-40CC-9F5C-AAF89F9B7AF5,6/30/14 0:00
155,212801092,fadi0,Production Technician - WC20,2/15/89,S,M,1/4/09,0,16,28,9923376F-26D0-4845-9D99-CC3D696CAEB8,6/30/14 0:00
156,322160340,lane0,Production Technician - WC20,9/23/74,M,M,1/11/09,0,11,25,042427B8-3883-4A87-A6A3-724EE1690F49,6/30/14 0:00
157,812797414,linda1,Production Technician - WC20,10/5/77,S,F,2/3/09,0,12,26,F963F913-449E-4EBB-BFDA-FC0C3010DB65,6/30/14 0:00
158,300946911,shelley0,Production Technician - WC20,12/8/86,S,F,3/7/09,0,14,27,13942056-2930-4490-83CE-AF2386D5A5E7,6/30/14 0:00
159,404159499,terrence0,Production Technician - WC20,12/8/84,S,M,2/16/09,0,13,26,4DA76442-5EEF-41FB-AE19-16C55714F9AD,6/30/14 0:00
160,712885347,jeff0,Production Supervisor - WC45,1/15/77,M,M,1/21/09,0,74,57,7C7D459E-1F49-427D-9BD5-DE31880C85DC,6/30/14 0:00
161,275962311,kirk0,Production Technician - WC45,2/6/85,S,M,12/15/08,0,74,57,08D25BAA-167B-499C-8B51-31DCC856A8CF,6/30/14 0:00
162,514829225,laura0,Production Technician - WC45,12/25/80,S,F,1/3/09,0,75,57,FCCD65BA-2702-4409-AE56-75AF1710AC78,6/30/14 0:00
163,377784364,alex0,Production Technician - WC45,4/13/90,M,M,2/8/09,0,77,58,B96BC9C2-5A25-4A9B-887A-C7C10E47B80C,6/30/14 0:00
164,65848458,andrew1,Production Technician - WC45,9/24/88,S,M,3/6/09,0,73,56,A2A2CF20-4E5C-45F7-A7BD-1B94F0C3A43A,6/30/14 0:00
165,539490372,chris0,Production Technician - WC45,12/16/88,M,M,1/22/09,0,76,58,300223F3-5587-4230-909B-D9C4AFD6D683,6/30/14 0:00
166,60114406,jack0,Production Supervisor - WC30,6/22/83,S,M,2/21/09,0,68,54,69A47230-70EE-48FD-AC15-C39F3712FF14,6/30/14 0:00
167,498138869,david1,Production Technician - WC30,11/2/79,S,M,12/2/08,0,25,32,ED7EE92E-A9D0-4E3A-8DEE-4B143E459F7E,6/30/14 0:00
168,271438431,garrett0,Production Technician - WC30,8/25/84,S,M,12/7/08,0,34,37,A6F5F72F-AA03-41B7-8B6E-B123BD360753,6/30/14 0:00
169,351069889,susan1,Production Technician - WC30,4/2/83,S,F,12/14/08,0,31,35,F73D75D5-B47B-46EE-AD11-7BF13DD6C55D,6/30/14 0:00
170,476115505,george0,Production Technician - WC30,4/16/77,M,M,12/21/08,0,26,33,01B119A2-2AF3-4775-818E-B421FECB07A7,6/30/14 0:00
171,746373306,david3,Production Technician - WC30,8/3/81,S,M,1/2/09,0,32,36,84C358D4-2493-452C-B7D6-B212C893A009,6/30/14 0:00
